Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-02-02;0700;null;
2020-02-02;0800;null;
2020-02-02;0900;null;
2020-02-02;1000;null;
2020-02-02;1100;null;
2020-02-02;1200;null;
2020-02-02;1300;null;
2020-02-02;1400;null;
2020-02-02;1500;null;
2020-02-02;1600;null;
2020-02-02;1700;null;
2020-02-02;1800;null;
2020-02-02;1900;null;
2020-02-02;2000;null;
2020-02-02;2100;null;
2020-02-02;2200;null;
2020-02-02;2300;null;
2020-02-03;0000;null;
2020-02-03;0100;null;
2020-02-03;0200;null;
2020-02-03;0300;null;
2020-02-03;0400;null;
2020-02-03;0500;null;
2020-02-03;0600;null;
2020-02-03;0700;null;
2020-02-03;0800;null;
2020-02-03;0900;null;
2020-02-03;1000;null;
2020-02-03;1100;null;
2020-02-03;1200;null;
2020-02-03;1300;null;
2020-02-03;1400;null;
2020-02-03;1500;null;
2020-02-03;1600;null;
2020-02-03;1700;null;
2020-02-03;1800;null;
2020-02-03;1900;null;
2020-02-03;2000;null;
2020-02-03;2100;null;
2020-02-03;2200;null;
2020-02-03;2300;null;
2020-02-04;0000;null;
2020-02-04;0100;null;
2020-02-04;0200;null;
2020-02-04;0300;null;
2020-02-04;0400;null;
2020-02-04;0500;null;
2020-02-04;0600;null;
2020-02-04;0700;null;
2020-02-04;0800;null;
2020-02-04;0900;null;
2020-02-04;1000;null;
2020-02-04;1100;null;
2020-02-04;1200;null;
2020-02-04;1300;null;
2020-02-04;1400;null;
2020-02-04;1500;null;
2020-02-04;1600;null;
2020-02-04;1700;null;
2020-02-04;1800;null;
2020-02-04;1900;null;
2020-02-04;2000;null;
2020-02-04;2100;null;
2020-02-04;2200;null;
2020-02-04;2300;null;
2020-02-05;0000;null;
2020-02-05;0100;null;
2020-02-05;0200;null;
2020-02-05;0300;null;
2020-02-05;0400;null;
2020-02-05;0500;null;
2020-02-05;0600;null;
2020-02-05;0700;null;
2020-02-05;0800;null;
2020-02-05;0900;null;
2020-02-05;1000;null;
2020-02-05;1100;null;
2020-02-05;1200;null;
2020-02-05;1300;null;
2020-02-05;1400;null;
2020-02-05;1500;null;
2020-02-05;1600;null;
2020-02-05;1700;null;
2020-02-05;1800;null;
2020-02-05;1900;null;
2020-02-05;2000;null;
2020-02-05;2100;null;
2020-02-05;2200;null;
2020-02-05;2300;null;
2020-02-06;0000;null;
2020-02-06;0100;null;
2020-02-06;0200;null;
2020-02-06;0300;null;
2020-02-06;0400;null;
2020-02-06;0500;null;
2020-02-06;0600;null;
2020-02-06;0700;null;
2020-02-06;0800;null;
2020-02-06;0900;null;
2020-02-06;1000;null;
2020-02-06;1100;null;
2020-02-06;1200;null;
2020-02-06;1300;null;
2020-02-06;1400;null;
2020-02-06;1500;null;
2020-02-06;1600;null;
2020-02-06;1700;null;
2020-02-06;1800;null;
2020-02-06;1900;null;
2020-02-06;2000;null;
2020-02-06;2100;null;
2020-02-06;2200;null;
2020-02-06;2300;null;
2020-02-07;0000;null;
2020-02-07;0100;null;
2020-02-07;0200;null;
2020-02-07;0300;null;
2020-02-07;0400;null;
2020-02-07;0500;null;
2020-02-07;0600;null;
2020-02-07;0700;null;
2020-02-07;0800;null;
2020-02-07;0900;null;
2020-02-07;1000;null;
2020-02-07;1100;null;
2020-02-07;1200;null;
2020-02-07;1300;null;
2020-02-07;1400;null;
2020-02-07;1500;null;
2020-02-07;1600;null;
2020-02-07;1700;null;
2020-02-07;1800;null;
2020-02-07;1900;null;
2020-02-07;2000;null;
2020-02-07;2100;null;
2020-02-07;2200;null;
2020-02-07;2300;null;
2020-02-08;0000;null;
2020-02-08;0100;null;
2020-02-08;0200;null;
2020-02-08;0300;null;
2020-02-08;0400;null;
2020-02-08;0500;null;
2020-02-08;0600;null;
2020-02-08;0700;null;
2020-02-08;0800;null;
2020-02-08;0900;null;
2020-02-08;1000;null;
2020-02-08;1100;null;
2020-02-08;1200;null;
2020-02-08;1300;null;
2020-02-08;1400;null;
2020-02-08;1500;null;
2020-02-08;1600;null;
2020-02-08;1700;null;
2020-02-08;1800;null;
2020-02-08;1900;null;
2020-02-08;2000;null;
2020-02-08;2100;null;
2020-02-08;2200;null;
2020-02-08;2300;null;
2020-02-09;0000;null;
2020-02-09;0100;null;
2020-02-09;0200;null;
2020-02-09;0300;null;
2020-02-09;0400;null;
2020-02-09;0500;null;
2020-02-09;0600;null;
2020-02-09;0700;null;
2020-02-09;0800;null;
2020-02-09;0900;null;
2020-02-09;1000;null;
2020-02-09;1100;null;
2020-02-09;1200;null;
2020-02-09;1300;null;
2020-02-09;1400;null;
2020-02-09;1500;null;
2020-02-09;1600;null;
2020-02-09;1700;null;
2020-02-09;1800;null;
2020-02-09;1900;null;
2020-02-09;2000;null;
2020-02-09;2100;null;
2020-02-09;2200;null;
2020-02-09;2300;null;
2020-02-10;0000;null;
2020-02-10;0100;null;
2020-02-10;0200;null;
2020-02-10;0300;null;
2020-02-10;0400;null;
2020-02-10;0500;null;
2020-02-10;0600;null;
2020-02-10;0700;null;
2020-02-10;0800;null;
2020-02-10;0900;null;
2020-02-10;1000;null;
2020-02-10;1100;null;
2020-02-10;1200;null;
2020-02-10;1300;null;
2020-02-10;1400;null;
2020-02-10;1500;null;
2020-02-10;1600;null;
2020-02-10;1700;null;
2020-02-10;1800;null;
2020-02-10;1900;null;
2020-02-10;2000;null;
2020-02-10;2100;null;
2020-02-10;2200;null;
2020-02-10;2300;null;
2020-02-11;0000;null;
2020-02-11;0100;null;
2020-02-11;0200;null;
2020-02-11;0300;null;
2020-02-11;0400;null;
2020-02-11;0500;null;
2020-02-11;0600;null;
2020-02-11;0700;null;
2020-02-11;0800;null;
2020-02-11;0900;null;
2020-02-11;1000;null;
2020-02-11;1100;null;
2020-02-11;1200;null;
2020-02-11;1300;null;
2020-02-11;1400;null;
2020-02-11;1500;null;
2020-02-11;1600;null;
2020-02-11;1700;null;
2020-02-11;1800;null;
2020-02-11;1900;null;
2020-02-11;2000;null;
2020-02-11;2100;null;
2020-02-11;2200;null;
2020-02-11;2300;null;
2020-02-12;0000;null;
2020-02-12;0100;null;
2020-02-12;0200;null;
2020-02-12;0300;null;
2020-02-12;0400;null;
2020-02-12;0500;null;
2020-02-12;0600;null;
2020-02-12;0700;null;
2020-02-12;0800;null;
2020-02-12;0900;null;
2020-02-12;1000;null;
2020-02-12;1100;null;
2020-02-12;1200;null;
2020-02-12;1300;null;
2020-02-12;1400;null;
2020-02-12;1500;null;
2020-02-12;1600;null;
2020-02-12;1700;null;
2020-02-12;1800;null;
2020-02-12;1900;null;
2020-02-12;2000;null;
2020-02-12;2100;null;
