Nome: IBOTIRAMA
Codigo Estacao: A439
Latitude: -12.19305555
Longitude: -43.21333333
Altitude: 425.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;12.7;
2020-01-01;1000;351.545;
2020-01-01;1100;1487.5;
2020-01-01;1200;1706.246;
2020-01-01;1300;2226.193;
2020-01-01;1400;3167.023;
2020-01-01;1500;3757.127;
2020-01-01;1600;3406.605;
2020-01-01;1700;3563.513;
2020-01-01;1800;3065.427;
2020-01-01;1900;2579.589;
2020-01-01;2000;1526.315;
2020-01-01;2100;417.874;
2020-01-01;2200;23.594;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.519;
2020-01-02;0600;-3.499;
2020-01-02;0700;-3.54;
2020-01-02;0800;-3.54;
2020-01-02;0900;4.174;
2020-01-02;1000;null;
2020-01-02;1100;1166.57;
2020-01-02;1200;1865.99;
2020-01-02;1300;2319.2;
2020-01-02;1400;2857.317;
2020-01-02;1500;2647.4;
2020-01-02;1600;3587.241;
2020-01-02;1700;1143.885;
2020-01-02;1800;1000.707;
2020-01-02;1900;756.014;
2020-01-02;2000;1156.171;
2020-01-02;2100;416.509;
2020-01-02;2200;20.251;
2020-01-02;2300;-3.524;
2020-01-03;0000;-3.501;
2020-01-03;0100;-3.037;
2020-01-03;0200;-.297;
2020-01-03;0300;-2.307;
2020-01-03;0400;-1.768;
2020-01-03;0500;-1.217;
2020-01-03;0600;-1.539;
2020-01-03;0700;-2.177;
2020-01-03;0800;-2.441;
